EE ID,SAP,ASSET TAG," Host Name"," MAC Address"," EMPLOYEE NAME",STATUS,Month,Year,DEPLOYED DATE," POSITION",BUSINESS UNIT,Operating System,Storage Location,REVISED MODEL 1," DESCRIPTION",SERIAL NO.,ACQUISITION DATE,WARRANTY EXPIRE,ACQUISITION COST,PURCHASED PRICE,ACCOUNTABILITY FORM,PO# / SI#,LAST USER,VENDOR NAME,
05-01092,100010,YONDU100011,YONDU100011,Pending,"SORIANO, STEPHANIE MENDOZA",Deployed,July,2025,"Jul 17, 2025",Network Administrator,Technology Group,Windows,,ACER TRAVELMATE P214 i5,ACER TRAVELMATE P214 i5,,"Aug 1, 2021","Jul 31, 2024","  50,223.22 ","2,511.16",,"PO # 4700001180; GARANIA, RUSSELL ANDRADA","ALCANTARA, ALEXANDER MENDOZA",MICRO PACIFIC TECHNOLIGIE,
05-01069,100011,YONDU100012,YONDU100012,Pending,"DAVID, VINCENT BAUTISTA",Deployed,November,2023,"Nov 21, 2023",Sr. Platform Engineer,Technology Group,Windows,,LENOVO THINKPAD L14 i7,LENOVO THINKPAD L14,PF-D8C2ER,"Aug 13, 2021","Aug 12, 2024","  60,399.01 ","3,019.95",ACCF_DAVID__VINCENT_BAUTISTA.pdf,"PO # 4700001141 ; ESPIRITU, JOHN PAULO MARQUEZ",,ACCENT MICRO TECHNOLOGIES,
05-09018,100012,YONDU100013,YONDU100013,087190857B4B,,Spare for Sale,,,N/A,,,Windows,LAT-3B,Dell Latitude 3420 i7,Dell Latitude 3420 i7,SN-BLSP5C,"Jan 31, 2022","Jan 30, 2025","  59,196.43 ","2,959.82",,"PO 4700001253 - MICROPACIFIC; CUEVAS,LOURDESS GEM PELLETERO","BAUTISTA, ERIKA MENDOZA",MICRO PACIFIC TECHNOLIGIE,
05-09018,100013,YONDU100014,YONDU100014,0871905B2562,,Spare for Sale,,,,,,Windows,,Dell Latitude 3420 i7,Dell Latitude 3420 i7,SN-FHTS01,"Jan 31, 2022","Jan 30, 2025","  59,196.43 ","2,959.82",,"PO 4700001253 - MICROPACIFIC; DELA PAZ,EDLIA MAE GARCIA","RAMOS, LOVELY FERNANDEZ",MICRO PACIFIC TECHNOLIGIE,
05-09018,100014,YONDU100015,YONDU100015,087190850FB2,,Spare for Sale,,,,,,Windows,LAT-1A,ACER TRAVELMATE P214 i7,ACER TRAVELMATE P214 i7,SN-2EBGPV,"Jun 2, 2022","Jun 1, 2025","  54,910.71 ","2,745.54",,PO 4700001300 (Advance Microsystem),"RIVERA, MICHAEL ANGELO RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09018,100015,YONDU100016,YONDU100016,08719041ADC0,,Spare for Deploy,,,,,Technology Group,Windows,LAT-1A,ACER TRAVELMATE P214 i7,ACER TRAVELMATE P214 i7,SN-AT83U3,"Jun 2, 2022","Jun 1, 2025","  54,910.71 ","2,745.54",,"PO 4700001300 (Advance Microsystem); CERVANTES, HEIDELLE MARIE JAHNELLE VICTORIA","JAVIER, VINCENT TORRES",ADVANCE MICROSYSTEMS CORP,
CON-00021,100016,YONDU100017,YONDU100017,087190A426C5,"ATIENZA, CHRISTIAN SANTOS",Deployed,August,2025,"Aug 18, 2025",Admin Officer,Admin,Windows,,ACER TRAVELMATE P214 i7,ACER TRAVELMATE P214 i7,SN-S6MHXE,"Jun 2, 2022","Jun 1, 2025","  54,910.71 ","2,745.54",,"PO 4700001300 (Advance Microsystem); CUYUGAN, ARVIN REMAR ANDAL","REYES, ANDREA GAIL TORRES",ADVANCE MICROSYSTEMS CORP,
05-06954,100017,100018,100018,087190843F81,"DELA CRUZ, VINCENT TORRES",Deployed,March,2026,"Mar 27, 2026",Software Engineer,Technology Group,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip) 16GB RAM 256GB SSD,SN-Q314UB,"Dec 28, 2022","Dec 27, 2025","  79,687.50 ","7,968.75",ACCF_DELA_CRUZ__VINCENT_TORRES.pdf,"PO 4700001358 (Micro Pacific); ","MALABANAN, ANGELO CASTILLO",MICROPACIFIC,
,100018,100019,100019,Pending,,Spare For Deploy,,,,,,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-7UD4Z3,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"CASTILLO, SOFIA MERCADO",ADVANCE MICROSYSTEMS CORP,
05-01662,100019,100020,100020,Pending,"PASCUAL, DOMINIC FLORES",Deployed,January,2025,"Jan 27, 2025",SOC Service Manager,Technology Group,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-F6G1C2,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem); PAUL CHRISTIAN BERGOLA VILLANUEVA,,ADVANCE MICROSYSTEMS CORP,
05-09018,100020,100021,100021,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-BPUS0V,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem) ; ALMAZORA, MARLO MAGBITANG","GONZALES, DOMINIC VILLANUEVA",ADVANCE MICROSYSTEMS CORP,
05-09770,100021,100022,100022,Pending,"RAMOS, MARK ANTHONY BAUTISTA",Deployed,June,2026,"Jun 19, 2026",Finance Intern,Finance,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-TC8QDS,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"SALAZAR, CAMILLE DELA CRUZ",ADVANCE MICROSYSTEMS CORP,
05-09770,100022,100023,100023,Pending,"ATIENZA, ERIKA CRUZ",Deployed,June,2026,"Jun 19, 2026",HR Intern,Human Resources,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-030RRE,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); ENRIQUEZ, JULIUS CAESAR MARIANO","DAVID, ADRIAN AQUINO",ADVANCE MICROSYSTEMS CORP,
05-09018,100023,100024,100024,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-BMA6DH,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"PADILLA, MICHAEL ANGELO BAUTISTA",ADVANCE MICROSYSTEMS CORP,
05-09018,100024,100025,100025,0871909C22F5,,Spare for Sale,,,N/A,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-BVNX0L,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"ATIENZA, DIANNE VILLANUEVA",ADVANCE MICROSYSTEMS CORP,
,100025,100026,100026,Pending,MARK ANTHONY CASTILLO,Deployed,,,,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-2P2WF7,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem) HO JR.,NOEL CASINOVA","MARQUEZ, CHARLENE CRUZ",ADVANCE MICROSYSTEMS CORP,
05-09770,100026,100027,100027,087190338CC8,"PADILLA, MARIA CLARA FERNANDEZ",Deployed,June,2026,"Jun 3, 2026",Legal Intern,Legal,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-Q30ZWX,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); SERVITO, AUBREY FELIX","ATIENZA, CARLO LOPEZ",ADVANCE MICROSYSTEMS CORP,
05-09018,100027,100028,100028,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-8NUEH7,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 FULGENCIO, MARIA ERIKA","RAMOS, CHRISTINE JOY CASTILLO",ADVANCE MICROSYSTEMS CORP,
05-09018,100028,100029,100029,0871901E6E97,,Spare for Sale,,,N/A,,,Windows,LAT-1A,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-UDHLPL,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); OLISCO, MARKEINSTEN JOSEPH CORRE","CABRERA, KENNETH VILLANUEVA",ADVANCE MICROSYSTEMS CORP,
05-02424,100029,100030,100030,087190D01903,"OCAMPO, MARCO MERCADO",Deployed,October,2025,"Oct 22, 2025",Release Manager,Technology Group,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-C15KSG,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"DELA CRUZ, ANGELO VILLANUEVA",ADVANCE MICROSYSTEMS CORP,
05-09018,100030,100031,100031,0871901877F1,,Spare for Sale,,,,,,Windows,LAT-1A,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-YX5V1T,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem);BELARDO,MARK ANTHONY SALINAS","JAVIER, ANGELA MAE RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09018,100031,100032,100032,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-DRXXHM,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"PANGANIBAN, JOSHUA LOPEZ",ADVANCE MICROSYSTEMS CORP,
05-09018,100032,100033,100033,0871902929FA,,Spare for Deploy,,,,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-1HJWY7,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); GUBAT, ROBERT PEÑOLA","DAVID, KATRINA MERCADO",ADVANCE MICROSYSTEMS CORP,
05-09018,100033,100034,100034,0871900E4529,,Spare for Deploy,,,,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-RE7ZNF,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"ALCANTARA, ADRIAN RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09018,100034,100035,100035,087190CFF7E0,,Spare for Deploy,,,,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-WYWCK8,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"OCAMPO, ANDREA GAIL AQUINO",ADVANCE MICROSYSTEMS CORP,
,100035,100036,100036,087190D931E3,,Spare for Deploy,,,,,,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-TZU378,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"RAMOS, KATHERINE ROSE CRUZ",ADVANCE MICROSYSTEMS CORP,
05-09018,100036,100037,100037,Pending,,Spare for Sale,,,,,,Windows,LAT-1A,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-BJ21U0,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); LIN, JASON EREDERA","BERNARDO, PAULO MIGUEL DELA CRUZ",ADVANCE MICROSYSTEMS CORP,
05-09018,100037,100038,100038,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-LG9ARA,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),,ADVANCE MICROSYSTEMS CORP,
05-09018,100038,100039,100039,Pending,,Spare for Sale,,,,,,Windows,LAT-1A,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-877JGZ,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),,ADVANCE MICROSYSTEMS CORP,
05-09018,100039,100040,100040,08719009581C,,Spare for Deploy,,,,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-MD3QCB,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"LAXAMANA, CAMILLE RAMOS",ADVANCE MICROSYSTEMS CORP,
05-09018,100040,100041,100041,087190A515E7,,Spare for Sale,,,N/A,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-R11QM8,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"NATIVIDAD, CAMILLE BAUTISTA",ADVANCE MICROSYSTEMS CORP,
05-09018,100041,100042,100042,0871903B6670,,Spare For Deploy,,,,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-7W31K3,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); OMBROG, MARK ANTHONY POLICARPIO","CORTEZ, ALEXANDER RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09770,100042,100043,100043,087190F8DFF6,"CALDERON, BIANCA GARCIA",Deployed,February,2026,"Feb 13, 2026",ITSM Intern,Technology Group,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-2KA59C,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",ACCF_CALDERON__BIANCA_GARCIA.pdf,PO 4700001365 (Advance Microsystem),"DAVID, KATRINA MERCADO",ADVANCE MICROSYSTEMS CORP,
05-09018,100043,100044,100044,Pending,,Spare for Sale,,,,,,Windows,LAT-1A,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-6UJWS7,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"CASTRO, ERIKA LOPEZ",ADVANCE MICROSYSTEMS CORP,
05-09018,100044,100045,100045,087190B9653E,,Spare For Deploy,,,,,,Windows,LAT-3B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-2QBMSQ,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"RAMOS, JOHN PAUL RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09018,100045,100046,100046,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-JJYXEF,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); ROBLES, MARVIN MENDOZA ",,ADVANCE MICROSYSTEMS CORP,
,100046,100047,100047,08719024351D,,Spare for Sale,,,,,,Windows,LAT-1C,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-MVAU0E,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"LAXAMANA, KATHERINE ROSE FERNANDEZ",ADVANCE MICROSYSTEMS CORP,
05-09770,100047,100048,100048,087190FBB1D3,"BAUTISTA, JOHN PAUL DELA CRUZ",Deployed,March,2026,"Mar 13, 2026",ITSM Intern,Technology Group,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-VSXC2J,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"PASCUAL, GABRIEL TORRES",ADVANCE MICROSYSTEMS CORP,
05-09770,100048,100049,100049,087190378DDD,"DAVID, ADRIAN AQUINO",Deployed,April,2026,"Apr 6, 2026",Finance Intern,Finance,Windows,,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-WV2QJ2,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"RAMOS, JOHN PAUL RIVERA",ADVANCE MICROSYSTEMS CORP,
05-09018,100049,100050,100050,0871909B4166,,Spare for Sale,,,N/A,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-G3DTKZ,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,"PO 4700001365 (Advance Microsystem); FLORES, SEANE FLANDEZ",,ADVANCE MICROSYSTEMS CORP,
05-09018,100050,100051,100051,Pending,,Spare for Sale,,,N/A,,,Windows,LAT-1B,ACER TRAVELMATE P215 i7,ACER TRAVELMATE P215 i7,SN-R5DUP5,"Oct 31, 2022","Oct 30, 2025","  48,214.28 ","2,410.71",,PO 4700001365 (Advance Microsystem),"GONZALES, MARCO LOPEZ",ADVANCE MICROSYSTEMS CORP,
,100051,100052,100052,0871906110C6,,Spare for Deploy,,,,,,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-THZ2BQ,"Apr 25, 2023","Apr 24, 2026","  75,223.21 ","7,522.32",,"PO4700001444 - AMTI; TINIO, CHRISTINA MARIE","CABRERA, PAULO MIGUEL LOPEZ",ACCENT MICRO TECHNOLOGIES,
05-06952,100052,100053,100053,08719080BD0B,"RAMOS, MICHAEL ANGELO TORRES",Deployed,April,2026,"Apr 10, 2026",Software Engineer,Client Based New Biz,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip) 16GB RAM 256GB SSD,SN-MKAZJD,"May 31, 2023","May 30, 2026","  75,223.21 ","7,522.32",ACCF_RAMOS__MICHAEL_ANGELO_TORRES.pdf,"PO4700001445 - AMTI; SISON, ANGELA MEI MAZON","FERNANDEZ, KATHERINE ROSE TORRES",ACCENT MICRO TECHNOLOGIES,
,100053,100054,100054,087190104070,,Spare for Deploy,,,,,,MacOS,," 2020 MacBook Air ",MacBook Air (M1 Chip),SN-5USLN2,"Apr 25, 2023","Apr 24, 2026","  45,089.29 ","2,254.46",,"PO4700001449 - MEDINA, JASON JAMES","FRANCISCO, ROCHELLE TORRES",ACCENT MICRO TECHNOLOGIES,
05-06265,100054,100055,100055,087190B52C93,"PANGANIBAN, DANIEL JOSEPH DELA CRUZ",Deployed,April,2023,"Apr 14, 2023",MANCOM,MANCOM,MacOS,,"2020 MacBook Air ",MacBook Air (M1 Chip),SN-QE0S3T,"Apr 25, 2023","Apr 24, 2026","  45,089.29 ","2,254.46",,PO4700001454 - AMTI,,STUDIO 84,
,100055,100056,100056,08719068912B,,Spare for deploy,March,2026,"Mar 27, 2026",Software Engineer,Client Based New Biz,MacOS,CAB 3E,2022 MacBook Pro,MacBook Pro (M2 Chip) 16GB RAM 256GB SSD,SN-91K7DW,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI; SANTOS, ADRIAN JUSTIN DELA CRUZ","AQUINO, KENNETH BAUTISTA",ACCENT MICRO TECHNOLOGIES,
,100056,100057,100057,0871904506DE,,Spare for Deploy,,,,,,MacOS,CAB 3F,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-X3F1E7,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI; ROLDAN, MARK JOEL SEÑAR",,ACCENT MICRO TECHNOLOGIES,
,100057,100058,100058,0871905F5CAF,,Spare for Deply,,,,,,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-TX24NU,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI; SHIINA,KEN JUSTINE RAMA","MERCADO, BIANCA FLORES",ACCENT MICRO TECHNOLOGIES,
,100058,100059,100059,087190DA6A35,,Spare for Deploy,,,,,,MacOS,CAB 3E,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-85PASX,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI;  VALENCIA, MARK ANTHONY","HERNANDEZ, FRANCIS AQUINO",ACCENT MICRO TECHNOLOGIES,
05-01752,100059,100060,100060,087190B0BAF3,"BERNARDO, DIANNE FLORES",Deployed,March,2026,"Mar 31, 2026",Lead Software Engineer,Client Based New Biz,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-NV116S,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,PO4700001461 - AMTI,,ACCENT MICRO TECHNOLOGIES,
,100060,100061,100061,0871907DAE9A,,Spare for Deploy,,,,,,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-YB4660,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI; LIVELO, JOSE LUIS DINEROS","CORPUZ, MONIQUE CASTILLO",ACCENT MICRO TECHNOLOGIES,
,100061,100062,100062,08719047E66B,,Spare for Deploy,,,,,,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip) 16GB RAM 256GB SSD,SN-GR280K,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,"PO4700001461 - AMTI; TUD, KEVIN LLOYD BALLESTEROS","GUTIERREZ, NICOLE AQUINO",ACCENT MICRO TECHNOLOGIES,
,100062,100063,100063,087190CF5A64,,Spare for Deploy,,,,,,MacOS,CAB-3F,2022 MacBook Pro,MacBook Pro (M2 Chip) 16GB RAM 256GB SSD,SN-ZKQ50F,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,PO4700001461 - AMTI,"NAVARRO, JOHN PAUL AQUINO",ACCENT MICRO TECHNOLOGIES,
,100063,100064,100064,087190F2597E,,Spare for Deploy,,,,,,MacOS,,2022 MacBook Pro,MacBook Pro (M2 Chip),SN-TNLY8H,"Apr 19, 2023","Apr 18, 2026","  75,223.21 ","7,522.32",,PO4700001461 - AMTI,"EVANGELISTA, DANIEL JOSEPH RIVERA",ACCENT MICRO TECHNOLOGIES,
