xr,EE Name,Laptop Description,Asset Tag,Serial Number,,Laptop Hostname,Host Name,MAC Address,Remarks,ADDRESS,Contact No.,Status,Tech POC,Updated to Master Tracker (Yes or No),,,,,
05-01752,"ESGUERRA, PATRICK OLIVER RAMOS",,YONDU101237,,,YONDU101237,YONDU101237,,,"Unit 2502, 76 Commonwealth Avenue, Brgy. Kapitolyo, Imus City, Cavite",9668065423,Deployed,Philip Caranay,Y,,,,,
05-01752,"VILLANUEVA, ROCHELLE MENDOZA",,YONDU101238,,,YONDU101238,YONDU101238,,,"Unit 502, 12 Rizal Avenue, Brgy. Wack-Wack, Las Piñas City, Metro Manila",9179730311,Deployed,Philip Caranay,Y,,,,,
05-01770,"REYES, KENNETH LOPEZ",,YONDU101239,,,YONDU101239,YONDU101239,,,"Unit 4002, 105 Dr. A. Santos Ave, Brgy. Loyola Heights, Calamba City, Laguna",9182636891,Deployed,Philip Caranay,Y,,,,,
05-01771,"DOMINGO, JOSHUA FLORES",,YONDU101240,,,YONDU101240,YONDU101240,,,"Unit 3502, 23 Ayala Avenue, Brgy. Greenhills, Pasig City, Metro Manila",9272953928,Deployed,Philip Caranay,Y,,,,,
05-01772,"CABRERA, DOMINIC FERNANDEZ",,YONDU101241,,,YONDU101241,YONDU101241,,,"Unit 2702, 184 Shaw Boulevard, Brgy. Wack-Wack, Imus City, Cavite",9660786161,Deployed,Philip Caranay,Y,,,,,
05-01772,"FRANCISCO, FRANCIS LOPEZ",,YONDU101242,,,YONDU101242,YONDU101242,,,"Unit 602, 87 Alabang-Zapote Road, Brgy. San Antonio, Pasig City, Metro Manila",9667404903,Deployed,Philip Caranay,Y,,,,,
05-06672,"CORPUZ, ANDREA GAIL MERCADO",,YONDU101243,,,YONDU101243,YONDU101243,,,"Unit 502, 245 Alabang-Zapote Road, Brgy. BF Homes, Bacoor City, Cavite",9271939003,Deployed,Philip Caranay,Y,,,,,
05-01772,"ILAGAN, MICHAEL ANGELO FERNANDEZ",,YONDU101244,,,YONDU101244,YONDU101244,,,"Unit 2002, 213 Katipunan Avenue, Brgy. Kapitolyo, Santa Rosa City, Laguna",9175021293,Deployed,Philip Caranay,Y,,,,,
05-01773,"ILAGAN, FRANCIS RAMOS",,YONDU101245,,,YONDU101245,YONDU101245,,,"Unit 3102, 165 Alabang-Zapote Road, Brgy. San Antonio, Makati City, Metro Manila",9665903360,Deployed,Philip Caranay,Y,,,,,
,ROCHELLE MANALANG,,YONDU101246,,,YONDU101246,YONDU101246,,Replacement unit due to BSOD - Advise courier to pickup his old unit,"Unit 1502, 191 Commonwealth Avenue, Brgy. Bel-Air, Muntinlupa City, Metro Manila",9202089595,Deployed,Philip Caranay,Y,,,,,
,DANIEL JOSEPH DOMINGO,,YONDU101247,,,YONDU101247,YONDU101247,,Replacement unit due to BSOD - Advise courier to pickup his old unit,"Unit 1502, 138 C-5 Road, Brgy. Moonwalk, Pasig City, Metro Manila",9177468706,Deployed,Philip Caranay,Y,,,,,
,ERIKA MARQUEZ,,YONDU101248,,,YONDU101248,YONDU101248,,Replacement unit due to BSOD - Advise courier to pickup his old unit,"Unit 3702, 157 Rizal Avenue, Brgy. Moonwalk, Muntinlupa City, Metro Manila",9053646008,Deployed,Philip Caranay,Y,,,,,
05-03454,STEPHANIE BERNARDO,,YONDU101249,,,YONDU101249,YONDU101249,,Replacement unit due to BSOD - Advise courier to pickup his old unit,"Unit 1302, 118 Aguinaldo Highway, Brgy. Ugong, Makati City, Metro Manila",9274319944,CANCELLED,,,,,,,
05-03454,NICOLE DOMINGO,,YONDU101250,,,YONDU101250,YONDU101250,,Replacement unit due to BSOD - Advise courier to pickup his old unit,"Unit 3202, 30 Ayala Avenue, Brgy. San Antonio, Santa Rosa City, Laguna",9200769795,CANCELLED,,,,,,,
,,,,,,,,,"RELEASED DATE: August 3, 2021",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,,,YONDU101251,YONDU101251,,Remarks,"Unit 2802, 119 Aurora Boulevard, Brgy. San Lorenzo, Antipolo City, Rizal",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-04589,MICHAEL ANGELO AQUINO,i7,YONDU101252,,NXVPXSP0171122187C7600,YONDU101252,YONDU101252,,"Replacement 102484 - Keyboard keys not 
working, hardware failure - Advise courier to pick up her old unit","Unit 3602, 34 Katipunan Avenue, Brgy. Alabang, Makati City, Metro Manila",9277337018,,Philip Caranay,Y,,,,,
05-01614,JUAN CARLOS PADILLA,i7,YONDU101253,,NXVPXSP017112218EB7600,YONDU101253,YONDU101253,,Replacement - keyboard keys na working properly. - Advise courier to pick up her old unit,"Unit 1102, 41 C-5 Road, Brgy. Greenhills, Antipolo City, Rizal",9178774435,,Philip Caranay,Y,,,,,
05-01730,VINCENT FERNANDEZ,macbook,101254,,,101254,101254,,Laptop replacement (Windows to Macbook) - Advise courier to pick up her old unit,"Unit 1602, 95 Aguinaldo Highway, Brgy. BF Homes, Calamba City, Laguna",9667861052,,Philip Caranay,Y,,,,,
05-01752,"MARQUEZ, KATRINA CASTILLO",i7,YONDU101255,,,YONDU101255,YONDU101255,,Laptop Replacement (Needs AXA Laptop) - Advise courier to pick up his old unit,"Unit 3902, 102 Dr. A. Santos Ave, Brgy. Loyola Heights, Makati City, Metro Manila",9056869691,,Philip Caranay,Y,,,,,
05-06672,"RAMOS, JOHN PAUL FERNANDEZ",i7,YONDU101256,,NXVPXSP017112219987600,YONDU101256,YONDU101256,,New Hired,"Unit 2102, 96 Bonifacio High St, Brgy. Moonwalk, Mandaluyong City, Metro Manila",9052607291,,Philip Caranay,Y,,,,,
05-01752,"VILLANUEVA, ALYSSA MARIE TORRES",i7,YONDU101257,,,YONDU101257,YONDU101257,,New Hired,"Unit 2102, 150 Boni Avenue, Brgy. BF Homes, Bacoor City, Cavite",9189592270,,Philip Caranay,Y,,,,,
05-01768,"CORPUZ, ALYSSA MARIE DELA CRUZ",i7,YONDU101258,,,YONDU101258,YONDU101258,,New Hired,"Unit 502, 141 Ortigas Avenue, Brgy. Pinyahan, Antipolo City, Rizal",9273905869,,Philip Caranay,Y,,,,,
05-01769,"CABRERA, DENISE RIVERA",i7,YONDU101259,,,YONDU101259,YONDU101259,,New Hired,"Unit 2602, 66 Dr. A. Santos Ave, Brgy. Pinyahan, Muntinlupa City, Metro Manila",9208616335,,Philip Caranay,Y,,,,,
05-01771,"FERNANDEZ, ANDREA GAIL FERNANDEZ",i7,YONDU101260,,,YONDU101260,YONDU101260,,New Hired,"Unit 3302, 169 Rizal Avenue, Brgy. Poblacion, Makati City, Metro Manila",9058481555,,Philip Caranay,Y,,,,,
05-01772,"CASTRO, BEATRICE CASTILLO",i7,YONDU101261,,,YONDU101261,YONDU101261,,New Hired,"Unit 1302, 147 Ayala Avenue, Brgy. San Lorenzo, Pasig City, Metro Manila",9207650255,,Philip Caranay,Y,,,,,
05-01771,"SALAZAR, KATHERINE ROSE BAUTISTA",i7,YONDU101262,,,YONDU101262,YONDU101262,,New Hired,"Unit 1802, 82 Ayala Avenue, Brgy. Loyola Heights, Antipolo City, Rizal",9662301955,,Philip Caranay,Y,,,,,
05-01769,"PADILLA, ANDREA GAIL MERCADO",i5,YONDU101263,,,YONDU101263,YONDU101263,,New Hired,"Unit 3002, 185 Ortigas Avenue, Brgy. Alabang, Imus City, Cavite",9271935318,,Philip Caranay,Y,,,,,
,RAFAEL ILAGAN,i7,YONDU101264,,NXVPXSP01711221A4B7600,YONDU101264,YONDU101264,,Newly requested laptop,"Unit 2302, 32 Bonifacio High St, Brgy. BF Homes, Mandaluyong City, Metro Manila",9170977697,,Philip Caranay,Y,,,,,
05-01770,ROCHELLE MANALANG,i7,YONDU101265,,NXVPXSP01711221A5B7600,YONDU101265,YONDU101265,,Replacement unit due to RAM issue - Advise courier to pickup his old unit,"Unit 1502, 191 Commonwealth Avenue, Brgy. Bel-Air, Muntinlupa City, Metro Manila",9202089595,,Philip Caranay,Y,,,,,
05-01768,BEATRICE MERCADO,i7,YONDU101266,,,YONDU101266,YONDU101266,,Camera issue - Advise courier to pickup his old unit,"Unit 2502, 81 Governor Drive, Brgy. Greenhills, Pasig City, Metro Manila",,,Philip Caranay,Y,,,,,
05-02402,DOMINIC DAVID,i5,YONDU101267,,NXVLESP02N11826E0B7600,YONDU101267,YONDU101267,,"Laptop Replacement (current unit EOL) - FOR SITE PICKUP Aug. 5-6, 2021",N/A,N/A,On Hold,Philip Caranay,Y,,,,,
,ANGELA MAE OCAMPO,,YONDU101268,,,YONDU101268,YONDU101268,,"Pick up from Yondu EE to AXA POC for laptop configuration 
1. Book pickup of Alfred Miguel's old laptop from Panorama
2. Book pickup of Kyle Chua's laptop from his Address
3. Deliver the 2 laptops to AXA POC's address","Unit 3602, 204 Marcos Highway, Brgy. Bel-Air, Santa Rosa City, Laguna",9660040571,Deployed,Philip Caranay,Y,,,,,
05-01773,"DEL ROSARIO, MICHAEL ANGELO CRUZ",i7,YONDU101269,,,YONDU101269,YONDU101269,,New Hired,"Unit 102, 25 C-5 Road, Brgy. Palanan, Parañaque City, Metro Manila",9206838927,Deployed,Philip Caranay,Y,,,,,
05-06645,"CASTILLO, FRANCIS FERNANDEZ",i5,YONDU101270,,,YONDU101270,YONDU101270,,New Hired,"Unit 2002, 14 Rizal Avenue, Brgy. Ugong, Parañaque City, Metro Manila",9201128663,Deployed,Philip Caranay,Y,,,,,
05-06645,"CORPUZ, DANIEL JOSEPH VILLANUEVA",i5,YONDU101271,,,YONDU101271,YONDU101271,,New Hired,"Unit 2202, 160 Rizal Avenue, Brgy. Kapitolyo, Bacoor City, Cavite",9174610199,Deployed,Philip Caranay,Y,,,,,
05-06645,"LOPEZ, RAFAEL FERNANDEZ",i5,YONDU101272,,,YONDU101272,YONDU101272,,New Hired (RETRACTED),"Unit 1202, 9 Alabang-Zapote Road, Brgy. Kapitolyo, Imus City, Cavite",9170076174,Deployed,Philip Caranay,Y,,,,,
05-06645,"TOLENTINO, KEVIN FERNANDEZ",i5,YONDU101273,,,YONDU101273,YONDU101273,,New Hired,"Unit 3502, 132 Ortigas Avenue, Brgy. Loyola Heights, Antipolo City, Rizal",9054703227,Deployed,Philip Caranay,Y,,,,,
05-06645,"DELA CRUZ, ANGELA MAE MENDOZA",i5,YONDU101274,,,YONDU101274,YONDU101274,,New Hired,"Unit 102, 204 Dr. A. Santos Ave, Brgy. Alabang, Imus City, Cavite",9171257876,Deployed,Philip Caranay,Y,,,,,
05-06645,"BERNARDO, KENNETH RIVERA",i5,YONDU101275,,,YONDU101275,YONDU101275,,New Hired,"Unit 2402, 77 Alabang-Zapote Road, Brgy. Bel-Air, Bacoor City, Cavite",9179122904,Deployed,Philip Caranay,Y,,,,,
05-06645,"REYES, JUAN CARLOS CRUZ",i5,YONDU101276,,,YONDU101276,YONDU101276,,New Hired,"Unit 4002, 127 Aurora Boulevard, Brgy. Bagong Ilog, Mandaluyong City, Metro Manila",9202069794,Deployed,Philip Caranay,Y,,,,,
05-01769,"HERNANDEZ, ALEXANDER CASTILLO",i7,YONDU101277,,NXVPXSP017112219127600,YONDU101277,YONDU101277,,New Hired,"Unit 2902, 160 Dr. A. Santos Ave, Brgy. Pinyahan, Mandaluyong City, Metro Manila",9173961998,Deployed,Philip Caranay,Y,,,,,
05-01773,"DEL ROSARIO, DOMINIC BAUTISTA",i7,YONDU101278,,,YONDU101278,YONDU101278,,New Hired,"Unit 1202, 90 Rizal Avenue, Brgy. Greenhills, Bacoor City, Cavite",9180571543,Deployed,Philip Caranay,Y,,,,,
05-01773,"NAVARRO, MONIQUE SANTOS",i7,YONDU101279,,,YONDU101279,YONDU101279,,New Hired,"Unit 3302, 165 Boni Avenue, Brgy. San Antonio, Antipolo City, Rizal",9055968189,Deployed,Philip Caranay,Y,,,,,
05-01773,"DOMINGO, CHRISTINE JOY MENDOZA",i7,YONDU101280,,,YONDU101280,YONDU101280,,New Hired,"Unit 102, 187 Marcos Highway, Brgy. BF Homes, Bacoor City, Cavite",9182998452,Deployed,Philip Caranay,Y,,,,,
05-01773,"MALABANAN, ALEXANDER GARCIA",i7,YONDU101281,,,YONDU101281,YONDU101281,,New Hired,"Unit 1702, 78 Commonwealth Avenue, Brgy. Palanan, Antipolo City, Rizal",9664593834,Deployed,Philip Caranay,Y,,,,,
05-01773,"DE LEON, ROCHELLE GARCIA",i5,YONDU101282,,,YONDU101282,YONDU101282,,New Hired,"Unit 3302, 71 Shaw Boulevard, Brgy. BF Homes, Santa Rosa City, Laguna",9208365994,Deployed,Philip Caranay,Y,,,,,
05-01773,"FLORES, JASMIN BAUTISTA",i7,YONDU101283,,NXVPXSP017112219E77600,YONDU101283,YONDU101283,,New Hired,"Unit 1502, 135 Boni Avenue, Brgy. BF Homes, Las Piñas City, Metro Manila",9200981313,Deployed,Philip Caranay,Y,,,,,
05-01773,"LOPEZ, ANGELO RIVERA",i5,YONDU101284,,,YONDU101284,YONDU101284,,New Hired,"Unit 1702, 218 Alabang-Zapote Road, Brgy. San Antonio, Las Piñas City, Metro Manila",9668797032,Deployed,Philip Caranay,Y,,,,,
05-01773,"MANALANG, MICHAEL ANGELO CASTILLO",i7,YONDU101285,,,YONDU101285,YONDU101285,,New Hired,"Unit 802, 208 Dr. A. Santos Ave, Brgy. BF Homes, Quezon City, Metro Manila",9668914831,Deployed,Philip Caranay,Y,,,,,
05-01773,"MANALANG, KEVIN FERNANDEZ",i7,YONDU101286,,,YONDU101286,YONDU101286,,New Hired,"Unit 3002, 63 Shaw Boulevard, Brgy. Bel-Air, Mandaluyong City, Metro Manila",9058738105,Deployed,Philip Caranay,Y,,,,,
05-01773,"SERRANO, ALYSSA MARIE CRUZ",i7,YONDU101287,,,YONDU101287,YONDU101287,,New Hired,"Unit 2502, 44 Marcos Highway, Brgy. Palanan, Taguig City, Metro Manila",9057391237,Deployed,Philip Caranay,Y,,,,,
05-01773,"ESGUERRA, ANGELO GARCIA",i7,YONDU101288,,,YONDU101288,YONDU101288,,New Hired,"Unit 1302, 170 Rizal Avenue, Brgy. Palanan, Antipolo City, Rizal",9274090548,Deployed,Philip Caranay,Y,,,,,
05-01773,"CASTRO, DOMINIC FERNANDEZ",i7,YONDU101289,,,YONDU101289,YONDU101289,,New Hired,"Unit 3402, 119 Alabang-Zapote Road, Brgy. Palanan, Mandaluyong City, Metro Manila",9667572095,Deployed (RETRACTED),Philip Caranay,Y,,,,,
,PATRICIA ANNE CABRERA,Windows,YONDU101290,,,YONDU101290,YONDU101290,,Unit will send to Christian Domanico,"Unit 1902, 140 Dr. A. Santos Ave, Brgy. Ugong, Imus City, Cavite",9207781014,Deployed,,Y,,,,,
,GABRIEL NATIVIDAD,Macbook,101291,,,101291,101291,,Macbook replacement due to damaged LCD/Display - advise courier to pick up his old unit,"Unit 3502, 218 C-5 Road, Brgy. San Lorenzo, Las Piñas City, Metro Manila",9050423335,Deployed,Philip Caranay,Y,,,,,
,GABRIEL JAVIER,Macbook,101292,,,101292,101292,,Macbook replacement due to unable to boot up - advise courier to pick up his old unit,"Unit 202, 248 Aguinaldo Highway, Brgy. Bagong Ilog, Imus City, Cavite",9666985642,Deployed,,Y,,,,,
,,,,,,,,,"RELEASED DATE: August 10, 2021",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,,,YONDU101251,YONDU101251,,Remarks,"Unit 2802, 119 Aurora Boulevard, Brgy. San Lorenzo, Antipolo City, Rizal",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-01634,PATRICIA ANNE MIRANDA,,YONDU101293,,,YONDU101293,YONDU101293,,Laptop replacement due to damaged LCD - advice the courier to pick up his old unit,"Unit 2702, 75 Governor Drive, Brgy. Ugong, Bacoor City, Cavite",9660050545,Deployed,Philip Caranay,Y,,,,,
05-04980,ADRIAN ILAGAN,,101294,,,101294,101294,,Laptop replacement due to repair -  keyboard problem -  advice the courier to pick up his old unit,"Unit 402, 114 Marcos Highway, Brgy. Greenhills, Mandaluyong City, Metro Manila",9272668825,Deployed,Philip Caranay,Y,,,,,
05-01730,VINCENT FERNANDEZ,macbook,101295,,,101295,101295,,Laptop replacement (Windows to Macbook) - Advise courier to pick up her old unit,"Unit 1602, 95 Aguinaldo Highway, Brgy. BF Homes, Calamba City, Laguna",9667861052,Deployed,Philip Caranay,Y,,,,,
05-01682,CHARLENE MAGNO,,YONDU101296,,,YONDU101296,YONDU101296,,"Replacement 102458 - Keyboard keys not 
working, hardware failure  | EOL - Advise courier to pick up her old unit","Unit 302, 44 Marcos Highway, Brgy. Greenhills, Imus City, Cavite",9209313194,Deployed,Philip Caranay,Y,,,,,
05-05194,ANGELO HERNANDEZ,,YONDU101297,,,YONDU101297,YONDU101297,,102531 Laptop replacement due to repair -  keyboard problem -  advice the courier to pick up his old unit (EOL),"Unit 3502, 94 Aguinaldo Highway, Brgy. Moonwalk, Mandaluyong City, Metro Manila",9054886428,Deployed,Philip Caranay,Y,,,,,
05-02452,"HERNANDEZ, ANDREA GAIL CRUZ",,YONDU101298,,,YONDU101298,YONDU101298,,New Hired,"Unit 2402, 241 Dr. A. Santos Ave, Brgy. Wack-Wack, Parañaque City, Metro Manila",9207803884,Deployed,Philip Caranay,Y,,,,,
05-01775,"MENDOZA, JUAN CARLOS FLORES",,YONDU101299,,,YONDU101299,YONDU101299,,New Hired,,9188300121,Deployed,Philip Caranay,Y,,,,,
05-01775,"SALAZAR, SOFIA GARCIA",,YONDU101300,,,YONDU101300,YONDU101300,,New Hired,,9178108640,Deployed,Philip Caranay,Y,,,,,
05-01775,"SALAZAR, ANGELO CRUZ",,YONDU101301,,,YONDU101301,YONDU101301,,New Hired,,9181644595,Deployed,Philip Caranay,Y,,,,,
05-01775,"LAXAMANA, PAULO MIGUEL BAUTISTA",,YONDU101302,,,YONDU101302,YONDU101302,,New Hired,,9054770410,Deployed,Philip Caranay,Y,,,,,
05-01775,"MAGNO, ADRIAN AQUINO",,YONDU101303,,,YONDU101303,YONDU101303,,New Hired,"Unit 3802, 50 Shaw Boulevard, Brgy. Loyola Heights, Imus City, Cavite",9180032392,Deployed,Philip Caranay,Y,,,,,
05-01791,"REYES, JEROME MENDOZA",,YONDU101304,,,YONDU101304,YONDU101304,,New Hired,"Unit 1902, 119 Alabang-Zapote Road, Brgy. Pinyahan, Parañaque City, Metro Manila",9181084152,Deployed,Philip Caranay,Y,,,,,
05-01791,"NATIVIDAD, LOVELY BAUTISTA",,YONDU101305,,,YONDU101305,YONDU101305,,New Hired,"Unit 1902, 184 Rizal Avenue, Brgy. BF Homes, Las Piñas City, Metro Manila",9189014624,Deployed,Philip Caranay,Y,,,,,
05-01791,"ILAGAN, DANIEL JOSEPH DELA CRUZ",,YONDU101306,,,YONDU101306,YONDU101306,,New Hired,"Unit 702, 226 Marcos Highway, Brgy. Alabang, Taguig City, Metro Manila",9200369853,"Unit 1011 Tower D SM Jazz Residences Makati City, located at the back of Mapúa Makati, 09560214605",Philip Caranay,Y,,,,,
05-01791,"MANALANG, PAULO MIGUEL RIVERA",,YONDU101307,,,YONDU101307,YONDU101307,,Route to AXA POC,"Unit 602, 142 Commonwealth Avenue, Brgy. Ugong, Antipolo City, Rizal",9207781014,"12 Sacristia St. Centro West, Santiago City, Isabela",Philip Caranay,Y,,,,,
05-01791,"OCAMPO, MICHAEL ANGELO DELA CRUZ",,YONDU101308,,,YONDU101308,YONDU101308,,New Hired,"Unit 3402, 211 Shaw Boulevard, Brgy. Palanan, Bacoor City, Cavite",9272548841,"350-B Liamzon Street, San Jose, Rodriguez, Rizal",Philip Caranay,Y,,,,,
05-01791,"AQUINO, ANGELO GARCIA",,YONDU101309,,,YONDU101309,YONDU101309,,New Hired,"Unit 502, 28 Rizal Avenue, Brgy. Pinyahan, Muntinlupa City, Metro Manila",9271891306,"287, Yakal Street, Samata Village, Talon Singko, Las Pinas City, Metro Manila - Landmark: Sibol Learning School/White Mosque",Philip Caranay,Y,,,,,
05-01769,"CASTILLO, BIANCA RAMOS",,101310,,,101310,101310,,New Hired,"Unit 2702, 112 Ortigas Avenue, Brgy. San Lorenzo, Muntinlupa City, Metro Manila",9182053081,Deployed,Philip Caranay,Y,,,,,
05-01772,"MORALES, ERIKA CASTILLO",,YONDU101311,,,YONDU101311,YONDU101311,,New Hired,"Unit 3502, 70 Commonwealth Avenue, Brgy. Alabang, Imus City, Cavite",9187776093,Deployed,Philip Caranay,Y,,,,,
05-01773,"VILLANUEVA, KEVIN MENDOZA",,YONDU101312,,,YONDU101312,YONDU101312,,New Hired,"Unit 1302, 181 Dr. A. Santos Ave, Brgy. San Antonio, Mandaluyong City, Metro Manila",9668106790,Deployed,Philip Caranay,Y,,,,,
05-01774,"VILLANUEVA, KATHERINE ROSE FERNANDEZ",,YONDU101272,,,YONDU101272,YONDU101272,,New Hired,"Unit 2002, 110 Marcos Highway, Brgy. Palanan, Mandaluyong City, Metro Manila",9667312382,Deployed,Philip Caranay,Y,,,,,
05-01791,"REYES, JOHN PAUL RIVERA",,YONDU101313,,,YONDU101313,YONDU101313,,New Hired,,9278430824,Deployed,Philip Caranay,Y,,,,,
05-01791,"MAGNO, MONIQUE AQUINO",,YONDU101314,,,YONDU101314,YONDU101314,,New Hired,"Unit 902, 64 C-5 Road, Brgy. Moonwalk, Taguig City, Metro Manila",9182256651,Deployed,Philip Caranay,Y,,,,,
05-01771,"MANALANG, GABRIEL FLORES",,YONDU101315,,,YONDU101315,YONDU101315,,New Hired,"Unit 2102, 53 Ayala Avenue, Brgy. Wack-Wack, Las Piñas City, Metro Manila",9279490241,Deployed,Philip Caranay,Y,,,,,
05-01769,"GUTIERREZ, ANDREA GAIL MENDOZA",,YONDU101316,,,YONDU101316,YONDU101316,,New Hired,"Unit 2602, 247 Bonifacio High St, Brgy. Bel-Air, Mandaluyong City, Metro Manila",9187011327,Deployed,Philip Caranay,Y,,,,,
05-01662,KATHERINE ROSE CABRERA,,YONDU101317,,,YONDU101317,YONDU101317,,Laptop replacement - advice courier to pick up old unit,"Unit 3402, 43 Alabang-Zapote Road, Brgy. BF Homes, Bacoor City, Cavite",9183877501,Deployed,Philip Caranay,Y,,,,,
,,,,,,,,,"RELEASED DATE: August 11, 2021",,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,,,YONDU101251,YONDU101251,,Remarks,"Unit 2802, 119 Aurora Boulevard, Brgy. San Lorenzo, Antipolo City, Rizal",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
05-01746,PATRICK OLIVER ESGUERRA,,YONDU101318,,,YONDU101318,YONDU101318,,"YONDU101319 - Laptop Frequent Dim Display Problem
Laptop replacement - advice courier to pick up old unit","Unit 1302, 182 Katipunan Avenue, Brgy. Ugong, Parañaque City, Metro Manila",9054400705,Deployed,Philip Caranay,Y,,,,,
05-04705,DANIEL JOSEPH MARQUEZ,,YONDU101320,,,YONDU101320,YONDU101320,,"YONDU101321 - Laptop charger port not working
Laptop replacement - advice courier to pick up old unit","Unit 3702, 214 Ortigas Avenue, Brgy. San Lorenzo, Parañaque City, Metro Manila",9271237442,Deployed,Philip Caranay,Y,,,,,
,STEPHANIE ESGUERRA,,,,,,,,Laptop Delivery (FOR TESTING PURPOSES),"Unit 2602, 45 Boni Avenue, Brgy. Kapitolyo, Parañaque City, Metro Manila",9275579202,Deployed,Philip Caranay,Y,,,,,
05-01791,"MAGNO, MONIQUE AQUINO",,YONDU101314,,,YONDU101314,YONDU101314,,New Hired,"Unit 902, 64 C-5 Road, Brgy. Moonwalk, Taguig City, Metro Manila",9182256651,Deployed,Philip Caranay,Y,,,,,
,,,,,,,,,"RELEASED DATE: August 17, 2021",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
05-07087,MARIA CLARA BAUTISTA,,YONDU101251,,,YONDU101251,YONDU101251,,Remarks,"Unit 2802, 119 Aurora Boulevard, Brgy. San Lorenzo, Antipolo City, Rizal",9182055197,Status,IT Tech Support,Updated to Master Tracker (Yes or No),,,,,
