,,,,,,"Retracted ",LBC Delivery,For Site Pick up,For Transportify,Preparing,Waiting confirmation from HRBP,Email Only (client issued laptop),,,,,LBC Delivery,For Site Pick up,For Transportify,Preparing,Waiting confirmation from HRBP,Email Only,,,,
" Azure AD User and Email Account Created",Yondu Macbook Pro,rmercado@yondu.com,Face to Face Orientation,03/24/2026,05-03196,"MERCADO, ROCHELLE CRUZ",NEW,Software Engineer,Client Based Globe,Globe Deployed,"MORALES, ANGELA MAE GARCIA",04/10/2026,rmercado.984@gmail.com,12/11/1998,,,FVT GlobeOne Dev Squad,04/13/2026,"Unit 502, 168 Aurora Boulevard, Brgy. Moonwalk, Imus City, Cavite",9180976717,,,,,,rmercado@yondu.com
" Azure AD User and Email Account Created",Yondu Macbook Pro,bvaldez@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"VALDEZ, BIANCA CRUZ",NEW,DevOps Lead,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/10/2026,bvaldez.458@gmail.com,9/13/1991,,,B2B Transformation,04/13/2026,"Unit 102, 118 Marcos Highway, Brgy. San Antonio, Santa Rosa City, Laguna",9173267229,,,,,,bvaldez@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,dmalabanan@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"MALABANAN, DENISE RAMOS",NEW,Sales Operations Analyst (CRM Specialist),Office of the President,Marketing,"NATIVIDAD, JOHN PAUL MERCADO",04/10/2026,dmalabanan.291@gmail.com,2/16/1997,,,,04/10/2026,"Unit 702, 176 Boni Avenue, Brgy. San Antonio, Quezon City, Metro Manila",9204297546,,,,,,dmalabanan@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,vmiranda@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"MIRANDA, VINCENT MENDOZA",NEW,Solutions Architect,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/10/2026,vmiranda.474@gmail.com,4/23/1995,,,B2B Transformation,04/13/2026,"Unit 102, 39 Governor Drive, Brgy. Bel-Air, Santa Rosa City, Laguna",9184856972,,,,,,vmiranda@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,dreyes@yondu.com,Face to Face Orientation,04/06/2026,05-06954,"REYES, DENISE MERCADO",NEW,Machine Learning Operations Specialist (LLM),Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/10/2026,dreyes.163@gmail.com,2/25/1999,,,Mynt,4/13/2026,"Unit 3502, 136 C-5 Road, Brgy. Ugong, Bacoor City, Cavite",9207079480,,,,,,dreyes@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,dpanganiban@yondu.com,Face to Face Orientation,04/06/2026,05-06954,"PANGANIBAN, DOMINIC RAMOS",NEW,Process Writer,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/10/2026,dpanganiban.343@gmail.com,8/17/1995,,,Globe - Project Deep,4/13/2026,"Unit 3102, 210 Aurora Boulevard, Brgy. Pinyahan, Quezon City, Metro Manila",9184641714,,,,,,dpanganiban@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,bflores@yondu.com,Face to Face Orientation,04/06/2026,05-03212,"FLORES, BIANCA LOPEZ",NEW,Software Engineer,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/10/2026,bflores.808@gmail.com,6/28/2000,,,MYNT: Strategic Partnership,4/10/2026,"Unit 3102, 144 Rizal Avenue, Brgy. Pinyahan, Calamba City, Laguna",9278506579,,,,,,bflores@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,aalcantara@yondu.com,Face to Face Orientation,04/06/2026,05-06954,"ALCANTARA, ALYSSA MARIE RAMOS",NEW,Application Support Specialist,Technology Group,Cluster 2,"GONZALES, DENISE DELA CRUZ",04/10/2026,aalcantara.188@gmail.com,3/3/2003,,,MES - Samsung,4/10/2026,"Unit 2902, 220 Aurora Boulevard, Brgy. Greenhills, Imus City, Cavite",9177872463,,,,,,aalcantara@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,jramos@yondu.com,Face to Face Orientation,04/08/2026,-,"RAMOS, JOHN PAUL RIVERA",INTERN,ITSM Intern,Technology Group,ITSM,"VALDEZ, DENISE LOPEZ",04/10/2026,jramos.566@gmail.com,4/5/2004,,,Shared,04/10/2026,"Unit 3202, 231 Rizal Avenue, Brgy. San Antonio, Quezon City, Metro Manila",9189270298,,,,,,jramos@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,kdavid@yondu.com,Face to Face Orientation,04/08/2026,-,"DAVID, KATRINA MERCADO",INTERN,ITSM Intern,Technology Group,ITSM,"VALDEZ, DENISE LOPEZ",04/10/2026,kdavid.289@gmail.com,8/9/2004,,,Shared,04/10/2026,"Unit 3402, 112 Rizal Avenue, Brgy. Poblacion, Santa Rosa City, Laguna",9174934425,,,,,,kdavid@yondu.com
,,,,,,,,,,,,,,,,,,,,,,,,,,
" Azure AD User and Email Account Created",Yondu Windows,dmorales@yondu.com,Face to Face Orientation,03/24/2026,05-03196,"MORALES, DIANNE AQUINO",NEW,Cyber GRC Manager,Technology Group,MSS,CHRISTIAN DOMINGO,04/17/2026,dmorales.244@gmail.com,11/30/1989,,,SOC,04/17/2026,"Unit 502, 247 Bonifacio High St, Brgy. Bel-Air, Bacoor City, Cavite",9186834305,,,,,,dmorales@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,cmendoza@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"MENDOZA, CHARLENE CASTILLO",NEW,Application Support Specialist (Data Operations),Technology Group,Cluster 1,"NATIVIDAD, CHARLENE MERCADO",04/17/2026,cmendoza.776@gmail.com,6/13/2000,,,MES - Mynt,04/17/2026,"Unit 802, 129 Ortigas Avenue, Brgy. BF Homes, Bacoor City, Cavite",9173347257,,,,,,cmendoza@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,rtolentino@yondu.com,Face to Face Orientation,04/01/2026,05-06954,"TOLENTINO, RAFAEL SANTOS",NEW,Project Manager,Client Based New Biz,New Biz Deployed - C2,"MORALES, JUAN CARLOS FLORES",04/17/2026,rtolentino.327@gmail.com,7/23/1996,,,Jollibee,04/20/2026,"Unit 3202, 178 Alabang-Zapote Road, Brgy. BF Homes, Parañaque City, Metro Manila",9279642539,,,,,,rtolentino@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,lde@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"DE LEON, PATRICK OLIVER GARCIA",NEW,Sr. Solutions Architect,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/17/2026,lde.538@gmail.com,6/2/1970,,,B2B Transformation,04/20/2026,"Unit 3602, 187 Aurora Boulevard, Brgy. Ugong, Calamba City, Laguna",9270634844,,,,,,lde@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,bgarcia@yondu.com,Face to Face Orientation,04/13/2026,05-06952,"GARCIA, BEATRICE MENDOZA",NEW,Business Analyst,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/17/2026,bgarcia.284@gmail.com,11/12/1997,,,ISDP,04/20/2026,"Unit 1102, 128 Ayala Avenue, Brgy. Bagong Ilog, Bacoor City, Cavite",9278274273,,,,,,bgarcia@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,ngutierrez@yondu.com,Face to Face Orientation,04/13/2026,05-03212,"GUTIERREZ, NICOLE AQUINO",NEW,DevOps Lead,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/17/2026,ngutierrez.805@gmail.com,5/2/1996,,,B2B Transformation,04/20/2026,"Unit 3002, 9 C-5 Road, Brgy. BF Homes, Makati City, Metro Manila",9661165223,,,,,,ngutierrez@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,cmercado@yondu.com,Face to Face Orientation,04/13/2026,05-06954,"MERCADO, CAMILLE MENDOZA",NEW,Jr. Data Engineer,Client Based Globe,Globe Deployed,"SERRANO, ALYSSA MARIE TORRES",04/17/2026,cmercado.925@gmail.com,3/3/1996,,,NTG - ADJUNCT,04/20/2026,"Unit 102, 188 Governor Drive, Brgy. Alabang, Santa Rosa City, Laguna",9204077225,,,,,,cmercado@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,kramos@yondu.com,Face to Face Orientation,04/13/2026,-,"RAMOS, KATHERINE ROSE CRUZ",INTERN,L&OD Intern,People & Culture,L&OD,"HERNANDEZ, MONIQUE CASTILLO",04/17/2026,kramos.684@gmail.com,10/5/2003,,,,04/17/2026,"Unit 1302, 159 Dr. A. Santos Ave, Brgy. Alabang, Quezon City, Metro Manila",9661821123,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,rtorres@yondu.com,Face to Face Orientation,03/24/2026,05-06953,"TORRES, RAFAEL MENDOZA",NEW,Service Manager,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/24/2026,rtorres.908@gmail.com,10/24/1981,,,Globe - EG: B2B Hyperscalers,04/27/2026,"Unit 1802, 12 C-5 Road, Brgy. Pinyahan, Las Piñas City, Metro Manila",9181544253,,,,,,rtorres@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,pmiranda@yondu.com,Face to Face Orientation,03/24/2026,05-03196,"MIRANDA, PAULO MIGUEL RIVERA",NEW,Application Support Specialist (Data Operations),Technology Group,Cluster 1,"NATIVIDAD, CHARLENE MERCADO",04/24/2026,pmiranda.216@gmail.com,9/3/1999,,,MES - Mynt,04/24/2026,"Unit 1002, 5 Aguinaldo Highway, Brgy. Poblacion, Mandaluyong City, Metro Manila",9175713473,,,,,,pmiranda@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,faquino@yondu.com,Face to Face Orientation,03/24/2026,05-03212,"AQUINO, FRANCIS BAUTISTA",NEW,Application Support Specialist (Data Operations),Technology Group,Cluster 1,"NATIVIDAD, CHARLENE MERCADO",04/24/2026,faquino.230@gmail.com,2/8/2000,,,MES - Mynt,04/24/2026,"Unit 1502, 37 Dr. A. Santos Ave, Brgy. Alabang, Las Piñas City, Metro Manila",9209506543,,,,,,faquino@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,jmanalang@yondu.com,Face to Face Orientation,04/16/2026,05-03212,"MANALANG, JASMIN FLORES",NEW,Security Engineer,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/24/2026,jmanalang.989@gmail.com,5/19/1999,,,Kanohi,04/27/2026,"Unit 402, 122 Governor Drive, Brgy. Greenhills, Santa Rosa City, Laguna",9666625589,,,,,,jmanalang@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,kaguilar@yondu.com,Face to Face Orientation,04/16/2026,05-03213,"AGUILAR, KATHERINE ROSE CASTILLO",NEW,Application Support Specialist,Delivery Group,Cluster 1,"HERNANDEZ, PATRICIA ANNE BAUTISTA",04/24/2026,kaguilar.567@gmail.com,8/25/1994,,,MS - Mynt Command Center & Application Support (L1L2) Extension IV,04/24/2026,"Unit 202, 211 Dr. A. Santos Ave, Brgy. Pinyahan, Pasig City, Metro Manila",9178314224,,,,,,kaguilar@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,milagan@yondu.com,Face to Face Orientation,04/16/2026,05-03213,"ILAGAN, MICHAEL ANGELO SANTOS",NEW,Security Engineer - CyberArk,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/24/2026,milagan.948@gmail.com,8/6/1986,,,Gcash - Project Kanohi,04/27/2026,"Unit 1902, 73 Alabang-Zapote Road, Brgy. Kapitolyo, Parañaque City, Metro Manila",9185450344,,,,,,milagan@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,dcabrera@yondu.com,Face to Face Orientation,04/16/2026,05-03213,"CABRERA, DANIEL JOSEPH MERCADO",REHIRE,Test Manager,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/24/2026,dcabrera.612@gmail.com,1/7/1992,,,Globe - SCR,04/27/2026,"Unit 1302, 37 Shaw Boulevard, Brgy. Ugong, Pasig City, Metro Manila",9184463553,,,,,,dcabrera@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,vsalazar@yondu.com,Face to Face Orientation,04/16/2026,05-06956,"SALAZAR, VINCENT MENDOZA",NEW,Automation Engineer,Delivery Group,Cluster 1,"CALDERON, ANGELO CASTILLO",04/24/2026,vsalazar.368@gmail.com,10/31/2000,,,CD - B2B All-In-One Portal Front End Development and Testing,04/27/2026,"Unit 2302, 237 Ortigas Avenue, Brgy. BF Homes, Bacoor City, Cavite",9201934429,,,,,,vsalazar@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,cdela@yondu.com,Face to Face Orientation,04/16/2026,05-06956,"DELA CRUZ, ALEXANDER DELA CRUZ",NEW,Service Manager,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/24/2026,cdela.187@gmail.com,5/3/1979,,,Globe EG: B2B HyperScalers,04/27/2026,"Unit 3902, 148 C-5 Road, Brgy. Alabang, Taguig City, Metro Manila",9274052901,,,,,,cdela@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,kserrano@yondu.com,Face to Face Orientation,04/16/2026,05-06956,"SERRANO, KATHERINE ROSE BAUTISTA",NEW,Sr. Automation Engineer,Delivery Group,Cluster 1,"CALDERON, ANGELO CASTILLO",04/24/2026,kserrano.561@gmail.com,12/5/1993,,,CD - B2B All-In-One Portal Front End Development and Testing,04/24/2026,"Unit 2102, 108 Ayala Avenue, Brgy. Kapitolyo, Parañaque City, Metro Manila",9662605459,,,,,,kserrano@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,aocampo@yondu.com,Face to Face Orientation,04/17/2026,05-06956,"OCAMPO, ANDREA GAIL FLORES",NEW,Jr. Technical Support Specialist (Mapping Specialist),Client Based New Biz,New Biz Deployed - C2,"MORALES, JUAN CARLOS FLORES",4/24/2026,aocampo.922@gmail.com,4/7/1988,,,Jollibee,04/27/2026,"Unit 1602, 30 C-5 Road, Brgy. Loyola Heights, Las Piñas City, Metro Manila",9276774404,,,,,,aocampo@yondu.com
" Azure AD User and Email Account Created",Yondu Windows,amercado@yondu.com,Face to Face Orientation,04/17/2026,05-06956,"MERCADO, ANGELA MAE BAUTISTA",NEW,Jr. Technical Support Specialist (Mapping Specialist),Client Based New Biz,New Biz Deployed - C2,"MORALES, JUAN CARLOS FLORES",4/24/2026,amercado.110@gmail.com,1/23/1996,,,Jollibee,04/27/2026,"Unit 3702, 89 Ortigas Avenue, Brgy. Ugong, Las Piñas City, Metro Manila",9666452952,,,,,,amercado@yondu.com
,,,,,,,,,,,,,,,,,,,,,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,kjavier@yondu.com,Face to Face Orientation,04/16/2026,05-03213,"JAVIER, KEVIN FLORES",NEW,Business Analyst Lead,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",04/30/2026,kjavier.911@gmail.com,6/28/1988,,,B2B IT Augmentation,05/04/2026,"Unit 502, 126 Ayala Avenue, Brgy. Poblacion, Muntinlupa City, Metro Manila",9666797850,,,,,,kjavier@yondu.com
" Azure AD User and Email Account Created",Yondu MacBook Air M2,fgarcia@yondu.com,Face to Face Orientation,04/21/2026,05-06954,"GARCIA, FRANCIS LOPEZ",NEW,Process Writer,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",4/30/2026,fgarcia.139@gmail.com,8/15/1999,,,Globe - Project Deep,05/04/2026,"Unit 3102, 11 Ortigas Avenue, Brgy. Greenhills, Taguig City, Metro Manila",9180305067,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,pesguerra@yondu.com,Face to Face Orientation,04/21/2026,05-06956,"ESGUERRA, PATRICIA ANNE RIVERA",NEW,Section Editor,Client Based Globe,Globe Deployed,"MORALES, JUAN CARLOS FLORES",4/30/2026,pesguerra.814@gmail.com,5/22/1996,,,Marketing Communications,05/04/2026,"Unit 1302, 5 Aguinaldo Highway, Brgy. Kapitolyo, Pasig City, Metro Manila",9668119260,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,mmercado@yondu.com,Face to Face Orientation,04/22/2026,05-03213,"MERCADO, MARCO DELA CRUZ",NEW,Data Engineer,Delivery Group,Data,"CORPUZ, MARIA CLARA RIVERA",4/30/2026,mmercado.753@gmail.com,5/10/1997,,,MS - NTG,05/04/2026,"Unit 3302, 21 Alabang-Zapote Road, Brgy. BF Homes, Imus City, Cavite",9177868290,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,mcalderon@yondu.com,Face to Face Orientation,04/27/2026,05-03213,"CALDERON, MARK ANTHONY LOPEZ",NEW,Sr. Technical Support Specialist (Service Desk),Delivery Group,ODC,"DAVID, ANGELO RAMOS",4/30/2026,mcalderon.474@gmail.com,10/14/1997,,,STATS PURPLE Project,04/30/2026,"Unit 2202, 66 Alabang-Zapote Road, Brgy. Pinyahan, Taguig City, Metro Manila",9275917871,,,,,,
" Azure AD User and Email Account Created",Yondu MacBook Air M2,dflores@yondu.com,Face to Face Orientation,04/21/2026,05-03213,"FLORES, DOMINIC RIVERA",NEW,Admin Officer,Admin,Admin,"JAVIER, JOHN PAUL MERCADO",5/8/2026,dflores.214@gmail.com,1/20/1999,,,,05/04/2026,"Unit 3602, 73 Rizal Avenue, Brgy. Kapitolyo, Pasig City, Metro Manila",9669799267,,,,,,
